"Part #","Description","USD EXW","",""
"44733SEMT20","TRIM ASSY.WHEEL 14X5","15.30","",""
"74828TG1T00","SUB STOPPER.GLASS HATCH","0.80","",""
"83402TM0T51ZC","BOX CONSOLE","6.14","",""
"08P02SWE7T0EX","KIT AERO BUMPER/MTL","556.66","",""
"78518SELT61ZC","BODY COVER","6.17","",""
"81197SEL000ZA","COVER R.R*NH361L*","0.50","",""
"21210RAX405","SET.TRNS CASE","542.70","",""
"72810TG1T01","WTHSTP.R RR DOOR","9.97","",""
"08F21TM07B0X","FR. GRILLE (TAFFETA","215.96","",""
"53501SELT00","GROMMET.STRG(RH)","0.99","",""
"38810PY3023","COMPRESSER COMP","0.00","",""
"60910TM0T50ZZ","FRAME COMP L.FR SIDE","234.07","",""
"46530S5A003","SPG ASSY.PEDAL RE","3.08","",""
"53540SEMT02","END COMP.TIE ROD R","9.71","",""
"15650P0A013","GAUGE COMP.OIL LE","1.83","",""
"77632SX8T00ZA","CASE COMP.A*NH1L*","10.00","",""
"38810RMXA01","COMPR. COMP","484.40","",""
"83701SWAA01ZC","BASE COMP R RR DOOR","193.00","",""
"72980SWA003ZA","GARN L RR DOOR QTR I","6.84","",""
"31210PH9004","BEARING B","1.74","",""
"42511SP0000","CAP MAINT.HOLE","1.19","",""
"17521TA0A00","BAND R.F/TANK MT","16.39","",""
"23943PL3B00","SHIM 70MM M","5.43","",""
"91313611010","O-RING 23.5X2","1.55","",""
"21210RAY010","CASE COMP.TRANSMI","448.39","",""
"91019PL1003","BRNG TRUST NEEDLE","5.68","",""
"72810SX8N00","WTHSTP R.RR DOOR","4.92","",""
"17147RCAA00","STAY ASSY. ENG.COV","16.43","",""
"90001P0A000","BOLT-WASH..SPL M6","1.65","",""
"78100TM0F01","METER ASSY.COMB","149.80","",""
"22552RCL003","PLATE.CLUTCH END","12.88","",""
"38920PWA901","BELT COMP","28.29","",""
"72141SD4004","BUSH.R.JOINT","0.28","",""
"17249P3RT00","CONNECTING TUBE.S","4.31","",""
"9454007010","E RING 7 mm","0.07","",""
"90504SB0000","WASHER PLAIN 12MM","1.07","",""
"54324SWAT01","WASHER.SHIFT","2.64","",""
"22748P24J00","PIPE.8X220","4.95","",""
"90018PF5000","BOLT.FLANGE.6X12","1.00","",""
"91329PRP003","O-RING.23.3X2.4","1.67","",""
"957010801808","BOLT.FLANGE.8X18","0.07","",""
"81540SX8N30ZA","HEADREST ASSY L FR","53.28","",""
"13214RNAA01","BRG D.CONNROD","12.16","",""
"08P33SX770S05","L/TRIM ST PL PORTLAN","0.00","",""
"64330SDET00ZZ","WHEEL HOUSE COMP","80.85","",""
"13410RAD010","SHAFT COMP.F BALANCE","0.00","",""
"62100SELT40ZZ","PANEL COMP ROOF","197.13","",""
"63229TC0T01","SEPARATOR.CTR PLR","5.25","",""
"957010603208","BOLT.FLANGE.6X32","0.17","",""
"71130TM0T00ZZ","BEAM COMP.FR BUMPER","41.98","",""
"65750TM0T00ZZ","C/MBR COMP.RR FLR","70.06","",""
"71101TC0T20ZZ","FACE.FR BUMPER","232.53","",""
"83332SDAA00","DUCT R RR HTR JOI","5.30","",""
"64322SWAA01","SEPARATOR RR W/HOUSE","3.71","",""
"38829PR3003","BOLT.WASHER HEAD","1.58","",""
"83253TF0003","PAD L.FR ROOF SID","2.19","",""
"93913141G0","SCREW.TAPPING.","0.85","",""
"81461S4KA02ZD","COVER.SHO*YR169L*","3.25","",""
"82238S9A003ZA","COVER R.R*NH167L*","4.97","",""
"76200TA0U01ZE","MIR. ASSY.. RH-R A/ *NH737M*","418.61","",""
"17261RZA000","STAY COMP A  AIR/C","5.40","",""
"53731SWA000","TUBE SUCTION P/S","8.08","",""
"81631SR3003ZP","KNOB L.RE*NH264L*","4.12","",""
"17726SX8T30","TUBE FUEL PURGE","5.90","",""
"18176PM3300","BOLT.CONVERTER ST","3.29","",""
"51602S9AG24","DAMPER ASSY.L FR","0.00","",""
"53449S5AJ01","BAND A.BELLOWS","5.58","",""
"90006PWA003","BOLT.ROCKER SHAFT","2.69","",""
"90136SF1A02","SCREW TAP 4X10","1.05","",""
"82280TF0J01","STRIKER ASSY R.RR","9.29","",""
"32100SX8N72","HARNESS.CABIN WIRE","119.30","",""
"24210RAP000","FORK COMP.3-4 SHI","53.23","",""
"74151S9A000","FENDER L.FR INN","42.27","",""
"06455SEMT00","SET.SHIM FR","8.02","",""
"06110RMX000","GASKET KIT.CYLN HEAD","121.66","",""
"23411RPC010","GEAR.S-L","65.96","",""
"75701TF0003","EMBLEM.H-MARK 75","2.06","",""
"34300SEA003","LIGHTASSY R SIDETURN","45.00","",""
"27112PGF000","PLATE.MAIN SEPARA","31.92","",""
