Sr. No.,Part,Source,HSNCode,Part Description,Model,USD PRICE
214,684112,O,87089900,BRACKET ENGINE FRONT MOUNTING,ASTRA,51.09
215,684140,O,87089900,SUPPROT MTG ENGINE FRT,ASTRA,19.00
216,6842928,O,87089900,HARNESS AIR CONDITIONING GM NO 1314015,VECTRA,115.08
217,684502,O,87089900,SLEEVE TENSION X 17DTL,ASTRA,2.64
218,6845105,O,87089900,MOTOR,VECTRA,146.00
219,684635,O,87089900,WASHER ENG MT,CORSA,2.95
220,684641,O,87089900,DAMPING BLOCK A FRT PWR UNIT,ASTRA,34.93
221,684788,O,87089900,BRACKET POWER UNIT MOUNT FRT,ASTRA,113.28
222,6850300,O,87089900,PIPE,VECTRA,101.62
223,6850461,O,87089900,HOSE ASSY,ASTRA,135.78
224,6850466,O,87089900,PIPE LIQUID REFRIGERANT,VECTRA,153.04
225,6850556,O,87089900,PIPE LIQUID REFRIGRANT,VECTRA,130.83
226,6854003,O,87089900,COMPRESSOR ASM AIR CONDITION,VECTRA,1319.48
227,702016,O,,CASE TRANSMISSION,ASTRA,464.77
228,702278,O,87089900,COVER TRANSMISSION CASE,VECTRA,2.25
229,702609,O,87089900,COVER HOUSING,ASTRA,13.49
230,702620,O,87089900,PLATE LOWER CLUTCH HOUSING,ASTRA,6.00
231,702925,O,87089900,SCREW HEX HD M8 16 COVER TO TRANSI,VECTRA,0.27
232,703033,O,87089900,CASE TRANSMISSION AUTO,ASTRA,688.17
233,703592,O,87089900,GASKET SECOND BRAKE TRANSMISSION,ASTRA,5.68
234,703628,O,87089900,RING SEAL,ASTRA,5.90
235,703757,O,87089900,SCREEW HOUSING M8 X 35,ASTRA,1.27
236,703879,O,87089900,HOSE VENTILATION TRANSMISSION,ASTRA,2.17
237,703887,O,87089900,TUBE LUBRICATION,ASTRA,27.05
238,705071,O,87089900,CASE TRANSMISSION CONVERTER,ASTRA,676.27
239,705301,O,87089900,CLAMP TUBE,ASTRA,2.24
240,706031,O,87089900,SHAFT REVERSE GEAR,ASTRA,17.70
241,706564,O,87089900,GASKET TRANS CASE TO EXTENSION,ASTRA,6.37
242,707032,O,87089900,PUMP ASM OIL,ASTRA,935.75
243,707376,O,87089900,RING SEAL,ASTRA,16.15
244,707386,O,87089900,RING OIL SEAL CONVERTOR HSG,ASTRA,22.58
245,707916,O,87089900,SCREW 6X 14 5 MM BRKT,ASTRA,0.80
246,708004,O,87089900,GEAR,ASTRA,326.99
247,708011,O,87089900,GEAR SECOND SPEED 17 TEETH,ASTRA,147.05
248,708151,O,87089900,SET GEARS,ASTRA,366.80
249,708175,O,87089900,GEAR SECOND SPEED 17 TEETH,ASTRA,138.62
250,708304,O,87089900,GEAR 5TH SPEED 14TH TEETH,ASTRA,137.11
251,708306,O,87089900,GEAR,VECTRA,137.11
252,708471,O,87089900,BEARING 25X 62X 17 MM,ASTRA,17.97
253,709021,O,87089900,RACE,ASTRA,6.67
254,709252,O,87089900,BEARING THRUST SUN GEAR,ASTRA,26.79
255,711006,O,87089900,DRUM REVERSE CLUTCH C 2,ASTRA,423.52
256,711013,O,87089900,PLATE CLUTCH,ASTRA,22.49
257,711038,O,87089900,DRUM REVERSE CLUTCH,ASTRA,522.86
258,711081,O,87089900,CLUTCH ONE WAY RR,ASTRA,153.70
259,711203,O,87089900,O RING COAST CLUTCH PISTION,ASTRA,8.49
260,711419,O,87089900,PLATE CLUTCH LESS FACING,ASTRA,22.52
261,711432,O,87089900,WASHER THURST CLUTCH PLATE 4 0,ASTRA,44.50
262,711434,O,87089900,WASHER THRUST CLUTCH PLATE,ASTRA,44.50
263,711594,O,87089900,PISTON ACCUMLATOR B 4,ASTRA,11.61
264,711655,O,87089900,BEARING THRUST C 1,ASTRA,13.86
265,711657,O,87089900,GEAR IDALER COUNTER DRIVEN,ASTRA,393.56
266,711727,O,87089900,RACE THRUST BEARING,ASTRA,4.66
267,711774,O,87089900,COVER ACCUMLATOR B 4,ASTRA,11.61
268,711820,O,87089900,SPRING THRUST B 4,ASTRA,5.36
269,711830,O,87089900,RING SNAP COUNTER DRIVEN,ASTRA,3.93
270,711875,O,87089900,RING SNAP B 1 B 2,ASTRA,6.52
271,711896,O,87089900,RING SNAP,ASTRA,2.90
272,711985,O,87089900,WASHER THURST C 2,ASTRA,4.72
273,713703,O,87089900,RING SNAP PLANETARY CARRIER,ASTRA,3.82
274,715029,O,87089900,CARRIERS ASM PLANETARY,ASTRA,877.59
275,715435,O,87089900,SEAL RING FLANGE,ASTRA,10.17
276,715672,O,87089900,RACE THRUST BEARING,ASTRA,9.82
277,716081,O,87089900,MAINSHAFT ASSY F17,ASTRA,247.22
278,716100,O,87089900,WASHER THRUST 41 8X37 1X2 MM,ASTRA,3.99
279,716185,O,87089900,RING SNAP 37 X 1 75 MM MAINSHAFT,ASTRA,2.43
280,716741,O,87089900,RING SNAP 1 82MM BROWN,ASTRA,2.66
281,717227,O,87089900,RACE THRUST BEARING,ASTRA,7.55
282,717562,O,87089900,WASHER THRUST,ASTRA,4.50
283,718234,O,87089900,GEAR FIFTH SPEEDM 37 23 TEETH,ASTRA,88.41
284,2098347,O,87089900,BULB,ASTRA,2.35
285,2098349,O,87089900,BULB,ASTRA,1.16
286,2098351,O,87089900,BULB,ASTRA,0.85
287,2098352,O,87089900,BULB 12V 60 55W FOR HEAD,ASTRA,5.44
