S. No.,Part No.,Description,USD Price,
391,5350194100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 54.2
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 14.4",23.22,
392,5350201100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 64.6
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",30.63,
393,5350202100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 53.7
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 14.4",22.08,
394,5350226100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 55.7
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",24.88,
395,5350229100,"OAP (Denso Alternator)
Pulley OD (Ø) = 65
Grooves = 7
Alt. Shaft Ød = 17
Thread = M14x1.5
Insert length = 12",31.60,
396,5350243100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 54
Grooves = 7
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 16",17.43,
397,5350263100,"OAP (Denso Alternator)
Pulley OD (Ø) = 54
Grooves = 6
Alt. Shaft Ød = 17
Thread = M14x1.5
Insert length = 12",19.27,
398,5350266100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 58
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 12",17.65,
399,5350305100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 55.9
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",24.59,
400,5350306100,"OAP (Denso Alternator)
Pulley OD (Ø) = 54
Grooves = 6
Alt. Shaft Ød = 15
Thread = M14x1.5
Insert length = 12",18.30,
401,5350307100,"OAP (Lucas Alternator)
Pulley OD (Ø) = 51
Grooves = 4
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 9.7",19.37,
402,5350320100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 55.87
Grooves = 6
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",21.90,
403,5350321100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 53.3
Grooves = 4
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",14.24,
404,5350322100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 55.87
Grooves = 5
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",21.92,
405,5350323100,"OAP (Lucas Alternator)
Pulley OD (Ø) = 55.75
Grooves = 5
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",14.24,
406,5350324100,"OAP (Valeo Alternator)
Pulley OD (Ø) = 55
Grooves = 5
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",12.83,
407,5350325100,"OAP (Bosch Alternator)
Pulley OD (Ø) = 62.99
Grooves = 5
Alt. Shaft Ød = 17
Thread = M16x1.5
Insert length = 11.1",24.81,
408,4230064100,"HLA & RFF Set Engine require:
16 - HLA & 16 RFF",3.61,
409,4230077100,"HLA & RFF Set Engine require:
2 - HLA & 2 RFF",4.05,
410,4230078100,"HLA & RFF Set Engine require:
12 - HLA & 12 RFF",5.29,
411,4200086100,"HLA ØD = 12, Height = 34.7",2.74,
412,4200181100,"HLA ØD = 12, Height = 33.4",1.96,
413,4200182100,"HLA ØD = 12, Height = 33.4",6.73,
414,4200250100,"HLA ØD = 12, Height = 26.9",2.66,
415,4220018100,"RFF Roller ØD = 16
Finger Length = 31, 
Finger width = 17.6",7.18,
416,4220064100,"RFF Roller ØD = 17
Finger Length = 31.3, 
Finger width = 18",1.96,
417,4220229100,"RFF Roller ØD = 19
Finger Length = 52.9, 
Finger width = 18",4.52,
418,4220235100,"RFF Roller ØD = 17
Finger Length = 30.57, 
Finger width = 15",2.41,
419,7220186100,Brg Cage 62x70x32.8,3.75,
420,7220187100,Brg Cage 68x76x35,4.52,
421,7220253100,Brg Cage 44x51x44.8,3.91,
422,7220263000,Brg Cage 70x80x40,5.65,
423,7220381100,Brg Cage 28x35x18,3.11,
424,7220402100,Brg Cage 62x70x40,5.82,
425,7220406100,Brg Cage 75x83x35,6.04,
426,7220408100,Brg Cage 80x88x40,6.32,
427,7110255000,One way Clutch ,7.56,
428,3280673100,Driven Plate,33.46,
429,1280819100,Cover Assembly,34.88,
430,3280843100,Driven Plate,41.91,
431,6283351090,Clutch Set,74.75,
432,1280818100,Cover Assembly,37.36,
433,6283350090,Clutch Set,54.56,
434,6313187090,Clutch Set,94.01,
435,3280674100,Driven Plate,59.38,
436,2280236100,DCA Assembly,180.22,
437,3280813100,Driven Plate,32.69,
438,1280420100,Cover Assembly,55.86,
439,3280558100,Driven Plate,42.91,
440,3280487100,Driven Plate,22.18,
441,3280498100,Driven Plate,26.80,
442,4340458100,Kits,43.41,
443,3280556100,Driven Plate,47.76,
444,2310111100,DCA Assembly,244.08,
445,2280192100,DCA Assembly,147.39,
446,3280560100,Driven Plate,48.67,
447,3310328100,Driven Plate,30.67,
448,3280825100,Driven Plate,28.22,
449,2280244100,DCA Assembly,192.15,
450,3280572100,Driven Plate,30.16,
451,3280826100,Driven Plate,54.42,
452,3310330100,Driven Plate,90.13,
453,6313158090,DCA Set,268.07,
454,1280355100,Cover Assembly,39.17,
455,3280606100,Driven Plate,33.48,
456,3280504100,Driven Plate,19.57,
457,3250218100,Driven Plate,14.02,
458,3250222100,Driven Plate,13.32,
459,3280497100,Driven Plate,19.26,
460,3310311100,Driven Plate,23.57,
461,4341088100,Kits,29.65,
462,4341089100,Kits,19.51,
463,3280533100,Driven Plate,61.27,
464,3280598100,Driven Plate,16.95,
465,3280488100,Driven Plate,15.76,
466,3280489100,Driven Plate,15.79,
