S. No.,Part No.,Description,USD Price,
244,64.25311-0002,BLINK/WIPER/WASHER INTERVAL CONTROL UNIT,20.06,
245,64.25320-6003,BLINKER LIGHT FRONT LH WITH BULB,6.64,
246,64.25320-6005,BLINKER LIGHT FRONT RH WITH BULB,6.64,
247,64.25320-6007,SIDE BLINKER LAMP LH (NEO-1270),5.66,
248,64.25320-6008,SIDE BLINKER LAMP RH (NEO-1270),5.66,
249,64.25400-6028,CABIN HARNESS (EDC MS 6.4) RHD,182.19,
250,64.25400-6117,CABIN HARNESS MAIN - RHD,299.36,
251,64.25404-6015,ENGINE HARNESS (D0836) - MICO ALTERNETOR,226.29,
252,64.25404-6020,HARNESS FOR HEAD LAMP INNER,5.94,
253,64.25413-6001,BUMPER HARNESS H4 HEAD LAMPS,92.52,
254,64.25424-6161,ENGINE HARNESS ASSEMBLY (2VCR),367.50,
255,64.25444-6003,CES W ABS W/O TRAILER W/O FLAMESTART  E,305.26,
256,64.25444-6060,ASSY CENTRAL ELECTRICALS,115.10,
257,64.25503-6001,SWITCH TEMPERATURE (K0352),27.58,
258,64.25525-0001,SWITCH,34.13,
259,64.25803-7001,ECU WITH DATASET (EDC7C32),683.72,
260,64.25805-7000,PTM1 EM-SW STEP3 BV0 - 2VCR,410.63,
261,64.25901-0001,BULB 24V 21W BA15s  (DIN EN 60809),0.76,
262,64.25901-0005,BULB 24V 75/70W H-4 P43T,2.05,
263,64.25901-0006,BULB  24V 21/5 W  BAY15d,1.14,
264,64.25901-7002,BULB 24V 10W BA15s  (DIN EN 60809),0.65,
265,64.25907-0006,RESISITER FOR AC BLOWER,19.35,
266,64.26101-6001,ALTERNATOR WITH PULLEY (80AMP),223.16,
267,64.26101-7004,ALTERNATOR - 80A (2VCR),226.94,
268,64.26201-7001,STARTER MOTOR (24V-4KW-11TEETH),224.38,
269,64.26401-6001,WIPER MOTOR ASSY,135.20,
270,64.26410-6001,WIPER LINKAGE ASSLY,38.07,
271,64.26430-0003,WIPER ARM RHD,3.92,
272,64.26440-0002,WIPER BLADE,3.01,
273,64.27202-6004,INSTRUMENT CLUSTER (2VCR),177.50,
274,64.27202-6006,INSTRUMENT CLUSTER (EIV)(CL-130),219.79,
275,64.27203-7013,FUEL LEVEL SENSOR & PIGTAIL KIT,46.44,
276,64.27421-0002,PULSE SENSOR  (0501 210 855),108.40,
277,64.27421-0015,AIR PRESSURE SENSOR (NEW),14.63,
278,64.27430-0001,OIL PRESSURE SWITCH,1.82,
279,64.30101-7002,CLUTCH HSG SUB ASSY (DIA.395),216.77,
280,64.30101-7011,BELL HOUSING  ASSY,530.60,
281,64.30301-0006,CLUTCH PLATE DIA.  430,197.29,
282,64.30301-0007,CLUTCH PLATE ASSY DIA.395 PUSH TYPE,164.79,
283,64.30305-0006,CLUTCH COVER ASSY DIA.  430,231.21,
284,64.30305-0007,CLUTCH COVER ASSY DIA.395 PUSH TYPE,184.60,
285,64.30305-7001,COLLECTOR KIT (DIA.430) CK-1758,32.64,
286,64.30550-0004,CLUTCH RELEASE BEARING (DJR),65.90,
287,64.30550-0005,CLUTCH RELEASE BEARING,47.57,
288,64.30560-0001,RELEASE FORK,30.83,
289,64.30715-6001,CYLINDER,27.34,
290,64.30725-6006,"CLUTCH BOOSTER 3"" (970 051 4350)",150.07,
291,64.30725-6007,"CLUTCH BOOSTER 4"" W/O 3/2 VALVE",183.60,
292,64.32003-6037,GEAR BOX 9S1110-TO HH RH SHIFT (SAE1),7967.53,
293,64.32003-6039,GEAR BOX 9S1110-TD HH RH SHIFT (SAE1),7721.33,
294,64.32003-6050,GEAR BOX ASSY 6S (ESO9306A) RHD,3585.02,
295,64.32099-0003,INTERM.PLATE ASSLY.,27.18,
296,64.32101-0002,HOUSING  FRONT,220.84,
297,64.32101-0005,CONNECTING  HOUSING,1109.15,
298,64.32101-4005,HOUSING ASSY (1324 201 041),791.02,
