S. No.,Part No.,Description,USD Price,
327,593503,DIODE BRIDGE ,68.56,
328,594112,ARMATURE ,68.56,
329,594391,SOLENOID SWITCH ,64.39,
330,594394,BRUSHES BOX WASHERS ,47.77,
331,594699,PINION DRIVE ,93.47,
332,595379,405,29.08,
333,595457,BUILT-IN REGULATOR TG16C010 ,31.15,
334,595458,BUILT IN REGULATOR ,62.32,
335,599095,BUILT-IN REGULATOR FG18S011 ,103.85,
336,599101,REGULATEUR TG17C010-048 ,43.62,
337,599232,BUILT-IN REGULATOR TG23C011 ,99.71,
338,599302,Built-in Regulator TG15C130 ,68.56,
339,599316,220,22.84,
340,600017,ALT Hyundai Atos FL 1.0i 12V ,124.25,
341,600028,New alternator ,112.41,
342,600084,Str Hyundai Accent Kia Rio 1.6 05-10 MT ,91.76,
343,600100,NEW Alternator Chevrolet Aveo / Daewoo K ,120.44,
344,600110,Str Hyundai Elantra Tiburon 2.0 96-05 MT ,114.70,
345,600122,ALT. BOBCAT 1G 13.5V 90A SG9K ,175.16,
346,600189,STR Bobcat Loader S175/185/250 02-03 ,218.86,
347,600197,ALT NE - ,125.73,
348,600201,ALT i20 Petrol ,143.38,
349,600216,"Starter Assly, Hyundai Elantra petrol ",126.74,
350,600252,"NE STA Actyon, Korando, Rexton ",216.03,
351,600257,Starter assly Hyundai i10 Petrol ,114.70,
352,600708,New Sta Chevrolet Captiva ,149.11,
353,600712,"New Alt Cerato, Rio, Sportage ",105.52,
354,600713,New Alternator Accent Getz Cerato ,151.93,
355,600714,"New Starter Accent,Getz,i10,Matrix ",126.17,
356,600716,New Alternator Hyundai i20 ,143.38,
357,600717,"New Starter Getz,i20,i30,ix20 Ceed ",97.50,
358,600718,"NEW STA Hyundai Elantra, i20, i30 ",99.26,
359,600719,"New Alternator Accent,i30 Cerato ",158.29,
360,600722,"New Alternator Getz, i10 / Kia Picanto ",143.38,
361,600724,"New Alternator i20 / Kia Ceed, Soul ",139.93,
362,600740,"NEW STA Hyundai Getz, i10, i20, i30 ",158.66,
363,600741,NEW ALT Hyundai i10 ,113.55,
364,600742,"NEW ALT Hyundai Coupe?, Highway Van ",162.87,
365,600743,NEW ALT TUCSON DIESEL IX 2.0 ,189.26,
366,600794,VERNA FLUIDIC PETROL STARER ,104.26,
367,600795,Hyundai 90Amps alternator ,150.54,
368,600796,ALT Grand i10 ,146.82,
369,691601,Rectifier - Hyundai i20 ,25.51,
370,691604,Regulator - Hyundai i20 ,16.76,
371,691611,Regulator - Hyundai i20 ,18.34,
372,691613,Rectifier - Hyundai Accent Petrol ,21.69,
373,691615,Regulator - Hyundai Accent Petrol ,17.45,
374,691618,Rectifier - Hyundai i10 ,22.34,
375,691620,Regulator - Hyundai Verna DSL Old ,17.19,
376,691624,Rectifier - Hyundai Verna DSL Old ,25.28,
377,691638,Regulator - Chevrolet Aveo ,16.65,
378,691639,Rectifier - Chevrolet Aveo ,33.24,
379,691655,REGULATOR ASS'Y.MELROE NEW ,18.59,
380,691656,RECTIFIER ASS'Y.MELROE 90A ,21.12,
381,691869,"Armature Assly, Hyundai Elantra/ i20/ Accent ",27.05,
382,691870,BRUSH KIT (STR) TS ,5.88,
383,691872,"Solenoid Switch, Hyundai Elantra/ i20/ Accent ",15.29,
384,691874,Brush holder - Hyundai i10 ,5.88,
385,691876,Solenoid Switch - Hyundai i10 ,12.64,
386,691877,"Armature Assy Hyundai Getz, i20, i30, ",24.98,
387,691878,Brush holder - Hyundai i20 ,8.41,
388,691880,Solenoid Switch - Hyundai i20 ,19.60,
389,691901,ARM ASS'Y. MELROE 700 ,50.73,
390,691903,M/SWITCH ASS'Y.MELROE ,33.02,
391,691904,Y/B/HOLDER ASS'Y.MELROE ,62.29,
392,691905,O R C ASS'Y.MELROE ,27.67,
393,691910,Brush holder - Hyundai Accent/getz ,6.17,
394,691912,Solenoid Switch - Hyundai Accent/getz ,19.99,
395,691913,"Armature Assy Hyundai Accent, Getz, i10 ",26.45,
396,691914,Brush holder - Hyundai Elantra ,5.88,
397,691916,Solenoid Switch - Hyundai Elantra ,15.99,
398,691929,REGULATOR ,16.20,
399,691930,RECTIFIER ,18.63,
400,691931,REGULATOR ,17.98,
401,691932,REGULATOR ,16.71,
402,691933,RECTIFIER ,29.24,
403,691934,REGULATOR ,16.83,
404,691935,ORC DRIVE ,17.77,
405,691936,BRUSH HOLDER STARTER ,7.97,
406,691937,ARMA TURES ,34.64,
407,691938,ORC DRIVE ,12.61,
408,691939,ORC DRIVE ,10.46,
409,691940,ORC DRIVE ,12.55,
410,691941,ARMA TURES ,34.16,
411,161100,CLUTCH COVER HCV AMW ,153.38,
412,161200,CLUTCH DISC TRACTOR TAFE EAGLE ,31.73,
413,161202,CLUTCH DISC PV NISSAN SUNNY (P) ,32.43,
414,161401,CLUTCH SET 2P PV TATA INDICA DIESEL ,33.56,
415,161402,CLUTCH SET 2P PV TATA INDIGO DIESEL ,48.46,
416,161403,CLUTCH SET 2P TRACTOR TAFE EAGLE ,72.90,
417,161404,CLUTCH SET 2P PV MSIL SWIFT DIESEL ,64.53,
418,404506,CLUTCH SET 2P PV HYUNDAI SANTRO ,17.26,
419,404507,CLUTCH SET 2P PV HYUNDAI GETZ ,26.61,
420,404508,CLUTCH SET 2P PV MSIL NEW VERSA YG8 ,20.76,
421,404509,CLUTCH SET 2P LCV TATA ACE ,27.94,
422,404510,CLUTCH SET 2P PV MSIL SWIFT PETROL ,37.07,
423,404511,CLUTCH SET 2P TRACTOR MAHINDRA SWARAJ 73 ,27.33,
424,404513,CLUTCH SET 2P PV MSIL 800 CAR ,39.72,
425,404514,CLUTCH SET 2P PV MSIL ZEN ,23.16,
426,404515,CLUTCH SET 2P PV MSIL OMNI ,46.10,
427,404516,CLUTCH SET 2P PV MSIL ALTO/WAGON-R ,29.00,
428,404517,CLUTCH SET 2P PV MSIL BALENO/ ESTEEM ,28.45,
429,404519,CLUTCH SET 2P PV MSIL ALTO STD LX ,41.26,
430,404521,CLUTCH SET 2P PV MSIL NEW WAGON-R YR9 ,42.97,
431,404522,CLUTCH SET 2P PV TATA INDICA/INDIGO PETR ,54.56,
432,404523,CLUTCH SET 2P PV TATA TCIC ,76.13,
433,404524,CLUTCH SET 2P PV FIAT FIRE ,68.38,
434,404525,CLUTCH SET 2P TRACTOR M&M H2 ,60.64,
435,404526,CLUTCH SET 2P PV FIAT LINEA ,60.63,
436,404527,CLUTCH SET 2P PV FORD FIGO ,73.37,
437,404529,CLUTCH SET 2P PV FORD IKON / FIESTA ,20.97,
438,404530,CLUTCH SET 2P TRACTOR M&M H1 ,27.87,
439,404531,CLUTCH SET 2P PV M&M CHAMPION ,33.73,
440,404532,CLUTCH SET 2P PV TATA NEW INDICA VISTA ,45.55,
441,404534,CLUTCH SET 2P LCV M&M MAXIMO ,26.03,
442,404535,CLUTCH SET 2P PV HYUNDAI I10 EP ,29.44,
443,404536,CLUTCH SET 2P PV HYUNDAI I10 KP ,39.93,
444,404537,CLUTCH SET 2P PV TATA WINGER TC ,59.99,
445,404538,CLUTCH SET 2P PV TATA WINGER NA ,57.98,
446,404539,CLUTCH KIT 3P LCV M&M CHAMPION ,31.98,
447,404541,CLUTCH KIT 3P PV MSIL ALTO STD LX ,36.83,
448,404542,CLUTCH KIT 3P LCV TATA ACE ,35.65,
449,404543,CLUTCH KIT 3P PV TATA INDICA DIESEL ,40.34,
450,404544,CLUTCH KIT 3P PV TATA INDIGO DIESEL ,56.28,
451,404545,CLUTCH KIT 3P PV TATA TCIC ,49.99,
452,404546,CLUTCH KIT 3P PV MSIL SWIFT PETROL ,43.37,
453,404547,CLUTCH KIT 3P PV MSIL OMNI ,31.90,
454,404548,CLUTCH KIT 3P PV MSIL ZEN ,34.98,
